time,frequency,confidence
5.750,34.333,0.137
5.760,34.333,0.129
5.770,34.333,0.122
5.780,34.333,0.114
5.790,34.333,0.107
5.800,34.333,0.100
5.810,34.667,0.093
5.820,34.667,0.086
5.830,34.667,0.079
5.840,34.333,0.073
5.850,34.333,0.067
5.860,34.333,0.061
5.870,34.333,0.055
5.880,34.667,0.050
5.890,34.667,0.045
5.900,34.667,0.041
5.910,34.667,0.037
5.920,34.667,0.033
5.930,34.667,0.030
5.940,34.667,0.027
5.950,34.667,0.026
5.960,34.667,0.025
5.970,34.667,0.025
5.980,34.667,0.024
5.990,34.667,0.024
6.000,34.667,0.024
6.010,34.667,0.023
6.020,34.667,0.023
6.030,34.667,0.023
6.040,34.667,0.023
6.050,34.667,0.022
6.060,34.667,0.022
6.070,34.667,0.021
6.080,34.667,0.021
6.090,34.667,0.020
6.100,34.667,0.019
6.110,34.667,0.018
6.120,34.333,0.017
6.130,34.333,0.016
6.140,34.667,0.015
6.150,34.667,0.014
6.160,34.333,0.013
6.170,34.333,0.012
6.180,34.333,0.011
6.190,34.667,0.009
6.200,34.667,0.009
6.210,34.667,0.009
6.220,34.667,0.008
6.230,34.667,0.008
6.240,34.667,0.007
6.250,34.333,0.006
6.260,34.333,0.006
6.270,34.333,0.005
6.280,34.667,0.004
6.290,34.333,0.004
6.300,34.333,0.003
6.310,34.667,0.002
6.320,34.667,0.001
6.330,34.667,0.001
6.340,34.667,0.000
6.350,34.333,0.000
6.360,34.333,0.000
6.370,34.333,0.001
6.380,34.333,0.001
6.390,34.333,0.001
6.400,34.333,0.002
6.410,34.333,0.002
6.420,34.333,0.003
6.430,34.333,0.004
6.440,34.333,0.004
6.450,34.333,0.005
6.460,34.333,0.005
6.470,34.333,0.006
6.480,34.667,0.007
6.490,34.667,0.007
6.500,34.667,0.008
6.510,34.667,0.008
6.520,34.333,0.009
6.530,34.333,0.009
6.540,34.333,0.010
6.550,34.333,0.010
6.560,34.333,0.010
6.570,34.333,0.011
6.580,34.667,0.011
6.590,34.667,0.011
6.600,34.333,0.012
6.610,34.333,0.012
6.620,34.667,0.012
6.630,34.667,0.012
6.640,34.667,0.013
6.650,34.667,0.013
6.660,34.667,0.014
6.670,34.333,0.014
6.680,34.333,0.015
6.690,34.333,0.015
6.700,34.333,0.016
6.710,34.333,0.016
6.720,34.333,0.017
6.730,34.333,0.017
6.740,34.333,0.018
6.750,34.333,0.018
6.760,34.333,0.019
6.770,34.667,0.020
6.780,34.333,0.020
6.790,34.333,0.021
6.800,34.333,0.021
6.810,34.667,0.022
6.820,34.667,0.022
6.830,34.667,0.023
6.840,34.667,0.023
6.850,34.667,0.024
6.860,34.667,0.024
6.870,34.667,0.024
6.880,34.667,0.025
6.890,34.667,0.025
6.900,34.667,0.025
6.910,34.667,0.025
6.920,34.667,0.026
6.930,34.333,0.026
6.940,34.333,0.026
